GATA2|FLI1|0.531571,0.409162
FLI1|FLI1|0.142824,0.870345
GFI1|FLI1,SCL|0.699450,0.346561,0.429635,0.828127
SCL|SCL,GATA1,FLI1,GATA2,CEBPA|0.026977,0.098241,0.142670,0.175157,0.015773,0.041715,0.075130,0.127428,0.541146,0.214922,0.634339,0.259530,0.045917,0.057860,0.328985,0.184610,0.850150,0.283012,0.656106,0.495347,0.132713,0.167984,0.588601,0.581784,0.991567,0.951871,0.952628,0.916029,0.941298,0.458013,0.899265,0.835330
FOG1|GATA1,FLI1,EKLF,SCL,GATA2|0.052415,0.096635,0.037865,0.245082,0.142159,0.459587,0.646586,0.716500,0.076093,0.111456,0.035835,0.335317,0.063867,0.211689,0.093356,0.693779,0.357105,0.640853,0.859579,0.853729,0.975776,0.899897,0.870422,0.906541,0.067522,0.281936,0.149399,0.653454,0.145867,0.506441,0.540813,0.886186
CJUN|CJUN,PU1,CEBPA,GATA1,GFI1,SCL,EKLF|0.596725,0.122796,0.087694,0.004626,0.410701,0.173790,0.098202,0.039642,0.013171,0.003094,0.001968,0.010989,0.075872,0.042460,0.026533,0.046849,0.526376,0.497821,0.443525,0.482506,0.231937,0.403089,0.166981,0.362333,0.491928,0.473670,0.452035,0.018518,0.247092,0.357126,0.185572,0.186557,0.570194,0.561079,0.590391,0.510400,0.493417,0.483900,0.200984,0.320490,0.563190,0.507307,0.502955,0.059721,0.364916,0.360784,0.255654,0.086556,0.495239,0.456077,0.373620,0.502241,0.247253,0.371909,0.101263,0.376512,0.446094,0.501760,0.372036,0.259099,0.310788,0.453997,0.223910,0.370097,0.888529,0.826866,0.841731,0.563171,0.831653,0.854767,0.796559,0.667996,0.811810,0.491977,0.609968,0.146939,0.746813,0.524870,0.512998,0.455797,0.907341,0.851598,0.815495,0.610149,0.850175,0.938503,0.932758,0.931996,0.787335,0.601460,0.575280,0.274808,0.893643,0.859828,0.898562,0.777946,0.872717,0.861918,0.917817,0.813308,0.912418,0.945327,0.880175,0.788475,0.877233,0.778936,0.731320,0.340742,0.912417,0.801317,0.660644,0.709578,0.860832,0.837999,0.935264,0.900329,0.922430,0.956092,0.960779,0.977232,0.881268,0.833233,0.824093,0.647573,0.940582,0.969321,0.962911,0.944863
GATA1|GATA1,EKLF,FLI1,SCL,GATA2|0.014465,0.073137,0.049753,0.205901,0.009463,0.050129,0.012823,0.084245,0.119272,0.388268,0.725749,0.633975,0.023391,0.155705,0.089802,0.358050,0.345465,0.563907,0.811973,0.784602,0.051975,0.191617,0.165729,0.392182,0.938128,0.853546,0.977377,0.987041,0.147091,0.364044,0.966461,0.835977
PU1|PU1,CJUN|0.037222,0.308647,0.857392,0.893907
CEBPA|CEBPA,FLI1,CJUN,GATA1,GFI1,EKLF|0.107078,0.005906,0.259282,0.035235,0.002117,0.017184,0.075020,0.038766,0.184216,0.234972,0.146327,0.263356,0.254193,0.026910,0.316444,0.128164,0.285115,0.266333,0.349113,0.359874,0.259063,0.078972,0.322397,0.213612,0.308941,0.368587,0.323293,0.513693,0.406509,0.405086,0.501612,0.266241,0.856394,0.628197,0.872906,0.694202,0.678802,0.140922,0.706433,0.377648,0.474787,0.463991,0.844829,0.938194,0.464002,0.320976,0.947718,0.838896,0.890824,0.867411,0.882580,0.794986,0.813674,0.514167,0.785193,0.608019,0.865506,0.763998,0.910551,0.898064,0.748668,0.746398,0.940220,0.924614
EKLF|EKLF,GATA1,SCL,CJUN,CEBPA,FLI1,GATA2|0.014944,0.087683,0.035904,0.040773,0.008470,0.016628,0.026525,0.040844,0.016451,0.025220,0.036562,0.051231,0.016491,0.080508,0.022904,0.060222,0.126421,0.197232,0.102829,0.084074,0.011451,0.022999,0.021869,0.046553,0.055504,0.058212,0.061975,0.099365,0.093505,0.115842,0.027711,0.086152,0.543817,0.516808,0.118574,0.237249,0.089776,0.101670,0.087455,0.135304,0.099098,0.125264,0.082602,0.171869,0.161035,0.281627,0.076175,0.175407,0.752574,0.542651,0.444793,0.307388,0.172175,0.153498,0.248759,0.268234,0.377848,0.356411,0.337530,0.377895,0.427995,0.383973,0.270352,0.375038,0.405206,0.474282,0.097765,0.370820,0.178091,0.269656,0.106226,0.240309,0.124882,0.182266,0.091243,0.185049,0.191499,0.384849,0.097607,0.233840,0.983736,0.555885,0.474660,0.528393,0.376617,0.449799,0.330623,0.541634,0.688941,0.609139,0.276863,0.385487,0.460635,0.519404,0.170472,0.388849,0.816672,0.712509,0.419541,0.601671,0.462870,0.580881,0.371587,0.493638,0.427032,0.638079,0.292390,0.393116,0.465005,0.532074,0.282513,0.375451,0.995082,0.954872,0.976717,0.905865,0.989497,0.985600,0.757140,0.878339,0.994374,0.994425,0.755743,0.935945,0.670710,0.892473,0.485619,0.760271
