Cell,clusters
RU1195A_191097700772724,14
RU1195A_129978437090604,22
RU1195A_129586368273654,22
RU1195A_157561656626534,14
RU1195A_169717307132774,4
RU1195A_134994556274995,14
RU1195A_120788128029029,0
RU1195A_231898650438956,12
RU1195A_130143762115308,7
RU1195A_231684202715054,22
RU1195A_241109239228661,4
RU1195A_226333612763421,12
RU1195A_157131039960302,4
RU1195A_196569623805173,22
RU1195A_192101737970926,12
RU1195A_200502471218997,12
RU1195A_156024146607517,15
RU1195A_161342014044403,14
RU1195A_165789606525235,14
RU1195A_169589815600933,14
RU1195A_156048601857310,22
RU1195A_164693583776619,4
RU1195A_200897562109750,12
RU1195A_200992231745822,4
RU1195A_196499918215526,1
RU1195A_122298748037043,13
RU1195A_170181057170733,15
RU1195A_196592958303012,12
RU1195A_169727151491379,12
RU1195A_192247794093355,12
RU1195A_155843785316260,1
RU1195A_121946427316517,14
RU1195A_227915483993902,12
RU1195A_236701751596837,3
RU1195A_197051868137901,12
RU1195A_126889101543283,12
RU1195A_121338689178348,8
RU1195A_157680527697820,22
RU1195A_226333580716963,13
RU1195A_160919066896733,0
RU1195A_169640012471595,11
RU1195A_162004619673012,1
RU1195A_230746928109995,14
RU1195A_122283735010588,4
RU1195A_131095902968732,22
RU1195A_196592958400348,5
RU1195A_130676054482331,12
RU1195A_239396889475499,4
RU1195A_231282307947444,12
RU1195A_231901098006254,14
RU1195A_130003803977645,15
RU1195A_156572874623206,12
RU1195A_121339897048292,22
RU1195A_197120273004981,4
RU1195A_125262263433588,14
RU1195A_226949759917468,12
RU1195A_130049257717108,8
RU1195A_165729296084214,4
RU1195A_122283703253870,12
RU1195A_240618642725213,14
RU1195A_129978391247580,22
RU1195A_169079819922267,18
RU1195A_169580969183596,12
RU1195A_121735052716470,4
RU1195A_228058962454893,12
RU1195A_239596337260332,2
RU1195A_227853850531693,4
RU1195A_231906467276517,12
RU1195A_230600528775397,12
RU1195A_157013883115299,12
RU1195A_230816752786670,15
RU1195A_121812477496036,18
RU1195A_191215659562726,7
RU1195A_236297783790427,6
RU1195A_121940359952748,4
RU1195A_122497244256043,10
RU1195A_135573418236211,4
RU1195A_135135304469292,12
RU1195A_122427450210613,7
RU1195A_240617702935963,1
RU1195A_192718897625331,15
RU1195A_230612561943854,14
RU1195A_170875902379814,13
RU1195A_204410993924828,12
RU1195A_129455090785012,22
RU1195A_130133995436958,22
RU1195A_121731947325797,15
RU1195A_226410788220203,12
RU1195A_230731493062580,12
RU1195A_121829792111915,14
RU1195A_130213137730358,15
RU1195A_135692456975133,12
RU1195A_170328400710444,12
RU1195A_232252165188323,12
RU1195A_120730011490531,15
RU1195A_164642012944309,22
RU1195A_231133475630003,14
RU1195A_126201934014245,12
RU1195A_157606842100124,12
RU1195A_129586368204212,15
RU1195A_199877522045363,12
RU1195A_239381838155101,22
RU1195A_121812464593651,12
RU1195A_166273844374245,14
RU1195A_121829791786782,1
RU1195A_156034495539445,18
RU1195A_196592958289822,0
RU1195A_236108018207094,12
RU1195A_226283262494582,6
RU1195A_231916084780262,14
RU1195A_169649554511707,1
RU1195A_161943416658211,12
RU1195A_126820562884894,15
RU1195A_122378473846637,12
RU1195A_235000972068588,14
RU1195A_160905376459693,12
RU1195A_157560315001765,15
RU1195A_230679148195174,12
RU1195A_165371889280750,12
RU1195A_199877522570483,12
RU1195A_135132217264884,4
RU1195A_192661069393198,12
RU1195A_157004353387308,12
RU1195A_192317708716381,12
RU1195A_161952168528299,14
RU1195A_170182237408691,8
RU1195A_133967235401581,5
RU1195A_135081931959028,22
RU1195A_239396858219805,7
RU1195A_200417867652524,15
RU1195A_122488788048676,22
RU1195A_165926864796389,15
RU1195A_120718487932204,2
RU1195A_155954368429299,22
RU1195A_228058981874091,12
RU1195A_133846963215262,4
RU1195A_195545408064742,1
RU1195A_165309478255398,22
RU1195A_135496109354283,12
RU1195A_230663207742771,15
RU1195A_126227589064493,12
RU1195A_133837044234659,12
RU1195A_157013868440355,12
RU1195A_192324048370100,14
RU1195A_231821340981110,12
RU1195A_129661652331254,22
RU1195A_231849392565606,8
RU1195A_205915440667876,12
RU1195A_226331312412572,12
RU1195A_231296428889822,12
RU1195A_122291519601972,14
RU1195A_192677443418909,12
RU1195A_227915456796917,22
RU1195A_196525285041910,15
RU1195A_191646632949533,7
RU1195A_129997315370412,2
RU1195A_192815687723875,14
RU1195A_191020360218413,12
RU1195A_231296428828580,12
RU1195A_191164540964084,7
RU1195A_156034496321947,13
